차량기지명,IC명,거리(km)
도봉차량사업소,설악IC,39.60706711199552
고덕차량사업소,매송IC,39.71819749797708
천왕차량사업소,발안IC,39.78597097658479
고덕차량사업소,부평IC,39.84313155924278
창동차량사업소,서안산IC,40.00955428398486
창동차량사업소,마성IC,40.15124553095497
수서차량사업소,설악IC,40.167468512673906
고덕차량사업소,서안산IC,40.1885144583394
신내차량사업소,가좌IC,40.42011871786523
신정차량사업소,북오산IC,40.46561358342603
신내차량사업소,용인IC,40.50740020171623
도봉차량사업소,양평IC,40.62602903863024
수서차량사업소,향남IC,40.678949929996705
도봉차량사업소,가좌IC,40.694451914911106
천왕차량사업소,용인IC,40.75320485961911
군자차량사업소,신둔(이천) 하이패스IC,40.804702326226945
창동차량사업소,도화IC,40.834676227559505
군자차량사업소,양지IC,41.00519042313466
군자차량사업소,설악IC,41.01292587369254
신내차량사업소,매송IC,41.17232965024675
군자차량사업소,북오산IC,41.25053422773525
창동차량사업소,수원신갈IC,41.250855756810374
지축차량사업소,매송IC,41.447436726244376
천왕차량사업소,향남IC,41.46351021479711
신내차량사업소,도화IC,41.60546558616293
방화차량사업소,봉담IC,41.63076983594325
군자차량사업소,정남IC,41.67295959940853
지축차량사업소,동수원IC,41.687900654883514
고덕차량사업소,봉담IC,41.73049097880665
신정차량사업소,용인IC,41.77499563843066
신정차량사업소,화도IC,41.86345657132707
수서차량사업소,남사진위IC,42.25451435374209
도봉차량사업소,도화IC,42.440309505379
도봉차량사업소,동군포IC,42.47973779629001
지축차량사업소,서종IC,42.59456915137759
도봉차량사업소,부곡IC,42.63998791307105
도봉차량사업소,북수원IC,42.80954475654148
창동차량사업소,매송IC,42.810654029252795
신내차량사업소,신둔(이천) 하이패스IC,42.909284410558406
신정차량사업소,발안IC,43.07304034656387
도봉차량사업소,군포IC,43.09729663308625
신내차량사업소,기흥IC,43.2192775477592
천왕차량사업소,오산IC,43.23818076671144
도봉차량사업소,안산IC,43.385843029355314
고덕차량사업소,북오산IC,43.49234958688564
고덕차량사업소,서인천IC,43.5434886228587
창동차량사업소,용인IC,43.73985301644145
방화차량사업소,수원신갈IC,43.82603009629543
수서차량사업소,이천IC,43.85387688296589
고덕차량사업소,비봉IC,43.88614658893662
신내차량사업소,기흥동탄IC,43.90227796781995
고덕차량사업소,강촌IC,44.1209652273905
방화차량사업소,화도IC,44.15423623791198
군자차량사업소,덕평IC,44.20762347158389
신정차량사업소,향남IC,44.225088001115545
도봉차량사업소,남양평IC,44.23439005021377
도봉차량사업소,서안산IC,44.445792620302484
천왕차량사업소,화도IC,44.47360845863801
신내차량사업소,봉담IC,44.49595346196557
도봉차량사업소,동수원IC,44.5778858409589
고덕차량사업소,가좌IC,44.67532012373287
수서차량사업소,발안IC,44.70769330191153
신내차량사업소,양지IC,44.76629496335489
고덕차량사업소,도화IC,45.48502589564073
고덕차량사업소,이천IC,45.4943934713905
신내차량사업소,비봉IC,45.49983547005695
지축차량사업소,비봉IC,45.53495264175972
신정차량사업소,오산IC,45.53765770374959
고덕차량사업소,정남IC,45.67067582504661
군자차량사업소,오산IC,45.79991902140917
신내차량사업소,북여주IC,45.83945942692952
창동차량사업소,기흥IC,46.0350614413809
방화차량사업소,마성IC,46.32235674775061
고덕차량사업소,서여주IC,46.32308106657627
군자차량사업소,북여주IC,46.42010702746831
창동차량사업소,신둔(이천) 하이패스IC,46.4420115287478
창동차량사업소,봉담IC,46.595373892052926
방화차량사업소,정남IC,46.70100286599116
창동차량사업소,기흥동탄IC,46.70402654549305
신정차량사업소,서종IC,46.773423690422206
수서차량사업소,서여주IC,46.96292198393158
지축차량사업소,수원신갈IC,47.02117110427514
신내차량사업소,덕평IC,47.082713757771195
창동차량사업소,비봉IC,47.16049944586145
군자차량사업소,향남IC,47.388281585077756
고덕차량사업소,오산IC,47.40303680411819
지축차량사업소,봉담IC,47.43536307757529
방화차량사업소,기흥IC,47.666498725448754
신내차량사업소,강촌IC,47.717819444438014
도봉차량사업소,마성IC,47.75774886605118
신내차량사업소,북오산IC,47.86538774919982
천왕차량사업소,양지IC,48.03997729661597
천왕차량사업소,남사진위IC,48.05283134730347
방화차량사업소,기흥동탄IC,48.096837541279534
창동차량사업소,양지IC,48.17437323738973
지축차량사업소,마성IC,48.2473548314986
도봉차량사업소,수원신갈IC,48.61109012266314
천왕차량사업소,청북IC,48.67003473948338
도봉차량사업소,매송IC,48.691199016083125
수서차량사업소,어연IC,48.71428166440778
천왕차량사업소,어연IC,48.77621816169749
신정차량사업소,양지IC,48.818452640173575
신내차량사업소,정남IC,48.90655889108796
창동차량사업소,강촌IC,49.13935107044259
방화차량사업소,서종IC,49.215907177039014
창동차량사업소,북여주IC,49.24731223498217
천왕차량사업소,서종IC,49.301026709489264
방화차량사업소,북오산IC,49.72259008562456
군자차량사업소,남사진위IC,50.029288677105725
군자차량사업소,발안IC,50.062534655574154
수서차량사업소,남여주IC,50.091424827396956
수서차량사업소,송탄IC,50.18217540460687
신정차량사업소,남사진위IC,50.321142054267206
고덕차량사업소,남여주IC,50.42370636406138
창동차량사업소,북오산IC,50.49979568704077
고덕차량사업소,향남IC,50.52817167180367
방화차량사업소,용인IC,50.55873998986655
창동차량사업소,덕평IC,50.58082216357422
수서차량사업소,서안성IC,50.623098798315645
도봉차량사업소,강촌IC,50.860312530761966
고덕차량사업소,남사진위IC,51.04288935935508
창동차량사업소,정남IC,51.14577147979043
지축차량사업소,기흥IC,51.34312202445178
도봉차량사업소,용인IC,51.39224906752234
수서차량사업소,평택고덕IC,51.46738134850706
수서차량사업소,청북IC,51.48305604212313
방화차량사업소,발안IC,51.631004403640105
천왕차량사업소,신둔(이천) 하이패스IC,51.6488121262473
지축차량사업소,양평IC,51.66873698770737
신정차량사업소,어연IC,51.70231653854623
신정차량사업소,신둔(이천) 하이패스IC,51.753400107082705
신정차량사업소,양평IC,51.769628480405494
신정차량사업소,청북IC,51.862387126205775
지축차량사업소,기흥동탄IC,51.87382510857545
군자차량사업소,이천IC,51.95909282289012
신내차량사업소,오산IC,52.183245335768746
지축차량사업소,용인IC,52.37038054611957
지축차량사업소,정남IC,52.48087185551154
도봉차량사업소,비봉IC,53.034222603077865
천왕차량사업소,덕평IC,53.050209660775344
도봉차량사업소,봉담IC,53.086775917055036
천왕차량사업소,오성IC,53.17202856319831
천왕차량사업소,평택고덕IC,53.23121745248663
수서차량사업소,오성IC,53.27447066970158
방화차량사업소,향남IC,53.346889774612826
도봉차량사업소,기흥IC,53.365835896458144
신내차량사업소,이천IC,53.40451157998829
천왕차량사업소,양평IC,53.469247878026515
신정차량사업소,남양평IC,53.5008543906326
수서차량사업소,강촌IC,53.50814916131612
천왕차량사업소,서평택IC,53.5316915765798
신정차량사업소,덕평IC,53.55597539620032
지축차량사업소,설악IC,53.6916961996074
도봉차량사업소,신둔(이천) 하이패스IC,53.94929824847737
도봉차량사업소,기흥동탄IC,54.019546970906475
군자차량사업소,강촌IC,54.05777834675433
신내차량사업소,서여주IC,54.29157934894861
군자차량사업소,서여주IC,54.30618989216961
지축차량사업소,북오산IC,54.32354760721341
